CategoryCode,ItemCode,Week,WeeklySales
2,1090249,1,45
2,1098493,1,33
4,1060909,1,226
2,174436,1,280
1,36898,1,254
4,753613,1,77
3,1090024,1,78
1,1054978,1,233
2,23569,1,51
2,30877,1,232
3,1081087,1,68
1,145978,1,140
2,216151,1,61
3,1047130,1,180
4,836584,1,460
2,1044502,1,87
1,43657,1,23
1,1056463,1,110
2,1098502,1,28
2,1105009,1,5
1,1032532,1,251
3,893824,1,124
2,1067074,1,133
3,1060630,1,190
3,1081060,1,271
1,1032541,1,318
2,1070818,1,36
2,110320,1,129
3,1063600,1,47
1,38518,1,68
1,17296,1,1439
1,37510,1,31
3,131983,1,147
1,1047967,1,551
1,124774,1,88
1,119554,1,433
3,1081069,1,63
2,20824,1,498
1,1032586,1,62
2,59749,1,174
3,7666,1,649
1,76399,1,89
1,1032568,1,152
3,1013335,1,42
1,1044682,1,154
3,132334,1,62
1,3427,1,162
2,1064473,1,167
1,3418,1,186
2,124954,1,62
2,1026871,1,56
3,1066570,1,418
1,1058713,1,134
1,1067119,1,112
4,23200,1,71
1,42424,1,92
2,262384,1,38
2,903976,1,76
3,88450,1,469
2,399220,1,75
2,1103056,1,33
2,40759,1,224
4,1074823,1,1235
2,837943,1,311
2,65788,1,203
4,245581,1,299
2,906586,1,24
1,142756,1,155
2,1101562,1,46
1,1081321,1,80
1,43738,1,47
4,1024810,1,183
4,1003156,1,218
1,48940,1,37
2,32245,1,156
2,815101,1,101
3,37861,1,495
2,1070836,1,90
2,39436,1,433
1,42496,1,105
4,123307,1,2053
2,132028,1,576
2,1071124,1,51
4,872260,1,57
3,169504,1,2736
1,86992,1,140
1,24136,1,246
1,1044691,1,54
2,43630,1,97
1,839356,1,184
1,379249,1,115
2,1092184,1,70
1,1061341,1,184
2,138742,1,99
1,1050046,1,58
1,1090105,1,21
1,1015621,1,16
4,731104,1,61
2,172582,1,79
2,118033,1,49
3,1081078,1,44
1,1030948,1,23
2,117610,1,51
1,1090114,1,17
2,1090240,1,87
3,1064572,1,33
2,1101571,1,37
2,838456,1,44
2,9925,1,35
2,836152,1,62
1,35584,1,19
2,836125,1,113
2,225259,1,52
2,865933,1,161
1,1049776,1,51
4,1003183,1,71
1,416212,1,28
1,1085749,1,29
2,267478,1,89
4,1003147,1,296
1,35449,1,13
4,1082743,1,26
2,50785,1,51
2,172033,1,120
1,17287,1,43
1,1044619,1,150
2,1006099,1,16
1,371104,1,31
1,370195,1,122
2,111382,1,78
2,858886,1,47
1,1032559,1,51
2,1067092,1,475
2,1076938,1,25
2,687616,1,36
2,64978,1,16
2,213802,1,45
2,1010068,1,60
2,87559,1,78
4,1003192,1,55
2,1071106,1,95
2,57058,1,26
3,1101661,1,87
1,839374,1,111
2,999403,1,23
2,1006090,1,42
1,755584,1,104
1,1021264,1,35
3,397213,1,45
3,16936,1,116
2,877624,1,111
1,59047,1,25
1,1061638,1,333
1,1084498,1,67
1,371239,1,43
1,145330,1,48
2,87046,1,17
2,86974,1,43
2,1101769,1,22
2,1090276,1,56
2,173617,1,82
1,35530,1,67
2,1101553,1,30
2,1006009,1,65
2,130993,1,46
2,111436,1,30
2,248272,1,28
1,1075651,1,11
2,210868,1,23
2,41830,1,58
2,1076929,1,17
2,1006108,1,22
1,1090303,1,30
2,1076920,1,49
1,1044610,1,38
2,75886,1,39
1,1048975,1,23
1,1032550,1,122
1,1081339,1,28
2,745945,1,43
2,913561,1,29
2,1071115,1,49
1,1090294,1,21
2,99079,1,70
2,906595,1,21
2,211309,1,60
2,1090258,1,52
3,1097143,1,80
1,1067128,1,41
1,1077118,1,22
1,1068883,1,6
2,1105018,1,1
2,172582,2,74
2,1006009,2,56
1,145978,2,142
1,1032550,2,50
2,1090249,2,45
1,1050046,2,63
2,1098493,2,34
4,1060909,2,144
3,1090024,2,66
3,1101661,2,95
2,174436,2,253
2,1044502,2,73
2,838456,2,44
2,1090240,2,87
1,36898,2,274
1,379249,2,139
1,1054978,2,242
4,753613,2,81
1,42496,2,105
2,30877,2,239
2,1101769,2,30
2,23569,2,49
4,23200,2,138
1,86992,2,162
2,1067074,2,129
1,17296,2,1767
2,1101571,2,38
3,1066570,2,425
1,48940,2,39
2,211309,2,56
3,1081087,2,94
3,1081060,2,212
2,216151,2,59
1,1085749,2,31
3,1047130,2,205
2,1064473,2,160
2,75886,2,29
4,836584,2,502
1,1032568,2,39
2,837943,2,314
1,1032586,2,71
1,43657,2,21
1,1056463,2,150
3,1081069,2,64
2,1098502,2,23
2,1105009,2,14
1,1032532,2,273
2,1070836,2,91
1,43738,2,41
3,893824,2,190
2,1076938,2,32
2,20824,2,488
3,88450,2,465
3,1060630,2,161
2,745945,2,76
1,1032541,2,263
2,1070818,2,39
2,110320,2,153
3,1063600,2,37
1,42424,2,89
4,1074823,2,1195
3,1064572,2,42
1,1081339,2,26
1,1081321,2,81
1,38518,2,43
1,37510,2,32
3,131983,2,130
2,1071106,2,105
1,1030948,2,26
2,50785,2,66
1,370195,2,159
1,1047967,2,418
4,245581,2,295
1,124774,2,97
1,1058713,2,108
1,35449,2,16
1,119554,2,476
2,858886,2,44
2,111382,2,60
2,124954,2,85
3,1013335,2,44
2,172033,2,204
2,836152,2,58
4,1024810,2,183
2,59749,2,153
3,7666,2,521
2,32245,2,120
1,76399,2,76
2,1090258,2,107
1,755584,2,135
1,1044682,2,176
2,999403,2,32
3,132334,2,51
1,3427,2,166
2,40759,2,220
1,3418,2,191
2,225259,2,43
2,1026871,2,53
2,836125,2,111
1,371239,2,44
4,872260,2,65
2,41830,2,56
1,1067119,2,125
2,138742,2,82
2,262384,2,43
2,903976,2,45
2,399220,2,82
2,1103056,2,65
2,43630,2,98
2,65788,2,157
4,1003156,2,177
2,906586,2,32
3,37861,2,484
1,142756,2,164
2,1101562,2,39
1,1032559,2,50
2,815101,2,96
3,1081078,2,49
1,1044619,2,183
1,839374,2,142
4,123307,2,1822
1,1061638,2,363
2,877624,2,109
3,169504,2,2654
2,87559,2,73
2,1092184,2,72
2,64978,2,17
2,865933,2,175
2,39436,2,213
2,1006108,2,15
1,1044610,2,41
2,130993,2,78
2,132028,2,608
2,1067092,2,514
2,1071124,2,68
1,24136,2,243
1,1044691,2,61
1,145330,2,40
2,213802,2,36
1,839356,2,202
4,1082743,2,27
1,1049776,2,45
1,1061341,2,208
1,1090105,2,23
1,1015621,2,13
4,731104,2,58
2,1076929,2,23
2,1076920,2,57
1,416212,2,24
4,1003147,2,294
2,1006099,2,13
2,118033,2,44
1,1090303,2,27
2,1090276,2,48
2,117610,2,98
1,1090114,2,22
1,17287,2,58
2,913561,2,35
2,9925,2,42
2,210868,2,24
1,35584,2,20
3,397213,2,86
4,1003183,2,54
2,267478,2,58
2,99079,2,73
2,1006090,2,51
1,1068883,2,11
2,173617,2,88
1,1048975,2,30
1,1075651,2,17
1,371104,2,32
2,1010068,2,53
4,1003192,2,41
2,57058,2,18
1,1021264,2,35
3,16936,2,110
1,59047,2,38
1,1084498,2,62
1,35530,2,54
2,1101553,2,25
2,111436,2,24
2,1071115,2,51
1,1090294,2,13
2,906595,2,24
3,1097143,2,117
1,1067128,2,39
2,86974,2,39
2,687616,2,16
2,1105027,2,8
2,1105018,2,4
2,248272,2,11
2,87046,2,13
1,1077118,2,3
2,267496,2,3
2,117610,3,131
2,172582,3,62
2,1006009,3,39
1,145978,3,112
1,1032550,3,51
2,1090249,3,51
2,1067092,3,537
1,1050046,3,63
2,815101,3,105
2,39436,3,79
2,1098493,3,38
4,1060909,3,235
2,172033,3,378
3,1090024,3,60
2,1067074,3,129
2,1071106,3,118
2,30877,3,322
3,1101661,3,99
2,877624,3,106
2,174436,3,284
2,1044502,3,72
2,838456,3,42
2,745945,3,115
2,1090240,3,83
1,36898,3,292
1,379249,3,132
2,57058,3,19
1,3427,3,154
1,1054978,3,218
4,1074823,3,1198
3,1066570,3,353
4,753613,3,104
1,42496,3,123
1,1056463,3,174
1,1048975,3,26
2,87559,3,64
1,1075651,3,22
2,1101769,3,50
2,23569,3,95
4,23200,3,194
1,1061341,3,189
1,86992,3,160
3,1060630,3,166
1,17296,3,1916
2,1071115,3,42
1,17287,3,53
2,1101571,3,27
4,1024810,3,188
3,893824,3,238
1,48940,3,41
2,211309,3,49
3,1081087,3,111
3,1081060,3,272
2,216151,3,68
1,1047967,3,427
1,1085749,3,27
3,1047130,3,221
2,1064473,3,152
2,118033,3,50
2,75886,3,32
4,245581,3,321
4,836584,3,541
1,1058713,3,137
1,1032568,3,33
2,837943,3,341
1,1032586,3,64
1,43657,3,27
3,1081069,3,53
2,110320,3,155
4,1082743,3,18
2,906586,3,37
2,1098502,3,23
2,1105009,3,28
1,1032532,3,379
2,262384,3,49
2,1070836,3,81
2,1010068,3,60
1,43738,3,34
1,119554,3,495
2,687616,3,2
1,839356,3,218
2,1076938,3,34
1,371239,3,36
2,87046,3,23
2,20824,3,703
3,88450,3,489
2,40759,3,204
1,1021264,3,32
2,210868,3,25
1,1032541,3,442
2,1070818,3,49
4,1003147,3,304
3,1063600,3,41
1,42424,3,83
3,1064572,3,48
2,399220,3,83
1,1081339,3,42
1,1081321,3,65
1,38518,3,45
2,836152,3,63
1,1030948,3,27
1,416212,3,27
1,24136,3,231
2,248272,3,39
1,1044691,3,57
1,37510,3,31
3,131983,3,119
2,50785,3,68
1,370195,3,169
1,124774,3,90
4,1003192,3,34
1,35449,3,16
2,858886,3,37
2,65788,3,118
2,1103056,3,87
2,43630,3,107
1,1044619,3,131
4,872260,3,57
4,1003156,3,229
1,142756,3,141
2,111382,3,65
2,903976,3,70
2,124954,3,112
3,1013335,3,41
4,731104,3,47
2,1101562,3,40
2,59749,3,148
3,7666,3,393
2,267496,3,16
2,32245,3,119
2,64978,3,16
1,1061638,3,318
3,169504,3,2748
1,76399,3,96
2,1090258,3,107
1,755584,3,127
1,1044682,3,128
2,999403,3,44
3,132334,3,44
1,3418,3,175
2,99079,3,75
2,225259,3,37
2,1026871,3,62
2,1101553,3,23
2,836125,3,131
4,123307,3,1704
2,1105027,3,22
1,1032559,3,49
3,1081078,3,52
2,41830,3,45
1,1067119,3,108
2,138742,3,92
2,132028,3,676
3,16936,3,104
3,37861,3,420
2,913561,3,43
4,1003183,3,48
1,1049776,3,56
1,839374,3,138
1,1090105,3,23
2,1092184,3,60
2,865933,3,128
2,1006108,3,16
1,1044610,3,33
2,130993,3,76
2,1071124,3,70
1,145330,3,38
2,213802,3,29
2,1076920,3,46
2,86974,3,35
1,1015621,3,9
2,1006090,3,56
2,1076929,3,18
2,906595,3,21
2,1006099,3,30
1,1090303,3,19
2,1090276,3,46
1,1090114,3,21
2,9925,3,39
1,35584,3,15
3,397213,3,65
2,173617,3,69
2,111436,3,21
2,267478,3,30
1,1068883,3,8
1,1067128,3,40
1,371104,3,30
1,1084498,3,36
3,1097143,3,85
1,59047,3,33
1,35530,3,43
2,1105018,3,15
1,1090294,3,5
1,1077118,3,0
2,117610,4,132
4,836584,4,511
2,172582,4,59
2,1006009,4,22
1,145978,4,114
1,1032550,4,52
2,1090249,4,88
2,1067092,4,533
1,1050046,4,74
2,815101,4,103
2,39436,4,71
1,371239,4,41
2,1103056,4,91
2,836125,4,163
3,131983,4,120
2,1098493,4,35
1,76399,4,93
4,1060909,4,254
2,172033,4,467
3,1090024,4,74
2,1067074,4,176
2,1071106,4,121
2,30877,4,299
2,110320,4,164
3,1101661,4,118
2,877624,4,107
2,1044502,4,68
2,174436,4,273
2,838456,4,50
2,745945,4,141
2,1090240,4,92
1,59047,4,40
1,42424,4,88
1,36898,4,271
1,379249,4,141
2,57058,4,17
1,3427,4,167
3,16936,4,107
1,1048975,4,49
1,1047967,4,489
1,1054978,4,189
4,1074823,4,1185
3,1066570,4,423
3,169504,4,2756
4,753613,4,102
1,42496,4,122
1,1056463,4,183
2,87559,4,64
2,59749,4,143
1,1075651,4,24
2,267478,4,24
1,371104,4,34
1,416212,4,30
2,1064473,4,177
2,1101769,4,66
1,1067119,4,102
2,23569,4,117
2,132028,4,653
4,23200,4,204
1,1061341,4,181
1,86992,4,174
3,1060630,4,167
1,17296,4,2146
2,1071115,4,49
1,17287,4,68
3,88450,4,497
2,1101571,4,24
2,1026871,4,54
1,119554,4,510
4,1024810,4,185
2,138742,4,94
3,893824,4,275
1,48940,4,44
2,211309,4,57
4,731104,4,70
3,1081087,4,117
3,1081060,4,291
2,216151,4,67
2,124954,4,142
2,1076920,4,42
2,1101562,4,48
1,1085749,4,23
4,123307,4,1619
3,1047130,4,240
2,837943,4,370
2,118033,4,54
1,1044682,4,128
2,75886,4,28
4,245581,4,301
1,1058713,4,137
1,1032568,4,37
2,1090276,4,52
1,1032586,4,60
2,1105027,4,28
2,906595,4,23
2,903976,4,87
1,43657,4,33
1,35584,4,14
3,1081069,4,60
4,1082743,4,17
2,906586,4,37
2,1098502,4,23
3,1063600,4,39
2,1105009,4,45
1,1032532,4,389
2,262384,4,49
2,1070836,4,80
2,1010068,4,63
1,43738,4,38
2,687616,4,10
1,839356,4,190
2,1076938,4,35
2,87046,4,27
2,20824,4,670
2,40759,4,203
2,173617,4,50
1,142756,4,117
1,1021264,4,31
2,210868,4,22
1,1032541,4,561
2,1070818,4,45
4,1003147,4,319
3,1064572,4,54
1,839374,4,140
2,399220,4,73
2,1006090,4,57
1,1081339,4,62
2,1101553,4,20
1,1081321,4,60
4,872260,4,47
1,38518,4,44
3,1081078,4,61
2,64978,4,19
2,248272,4,71
2,836152,4,71
1,1030948,4,23
1,24136,4,96
1,1044691,4,67
1,37510,4,32
3,397213,4,78
2,50785,4,76
1,370195,4,169
1,124774,4,76
2,858886,4,30
4,1003192,4,65
2,9925,4,32
2,913561,4,43
1,35449,4,23
2,65788,4,72
2,43630,4,109
1,1044619,4,123
2,267496,4,23
4,1003156,4,240
2,111382,4,54
2,41830,4,52
3,1013335,4,35
3,7666,4,188
2,32245,4,121
1,1061638,4,218
2,1090258,4,102
1,755584,4,184
2,999403,4,49
3,132334,4,51
2,1071124,4,67
1,3418,4,185
2,99079,4,76
2,225259,4,37
1,1032559,4,41
2,213802,4,26
2,1105018,4,22
1,1044610,4,31
3,37861,4,435
2,1006108,4,27
4,1003183,4,40
1,1015621,4,8
1,1049776,4,67
1,1084498,4,61
2,1092184,4,64
1,1090105,4,19
2,865933,4,109
2,1076929,4,21
2,130993,4,108
1,145330,4,26
1,1067128,4,26
2,86974,4,31
1,1068883,4,11
2,1006099,4,33
